"","dong","code"
"1","서울특별시","1100"
"2","서울특별시 종로구","1111"
"3","서울특별시 중구","1114"
"4","서울특별시 용산구","1117"
"5","서울특별시 성동구","1120"
"6","서울특별시 광진구","1121"
"7","서울특별시 동대문구","1123"
"8","서울특별시 중랑구","1126"
"9","서울특별시 성북구","1129"
"10","서울특별시 강북구","1130"
"11","서울특별시 도봉구","1132"
"12","서울특별시 노원구","1135"
"13","서울특별시 은평구","1138"
"14","서울특별시 서대문구","1141"
"15","서울특별시 마포구","1144"
"16","서울특별시 양천구","1147"
"17","서울특별시 강서구","1150"
"18","서울특별시 구로구","1153"
"19","서울특별시 금천구","1154"
"20","서울특별시 영등포구","1156"
"21","서울특별시 동작구","1159"
"22","서울특별시 관악구","1162"
"23","서울특별시 서초구","1165"
"24","서울특별시 강남구","1168"
"25","서울특별시 송파구","1171"
"26","서울특별시 강동구","1174"
"27","부산광역시 중구","2611"
"28","부산광역시 서구","2614"
"29","부산광역시 동구","2617"
"30","부산광역시 영도구","2620"
"31","부산광역시 부산진구","2623"
"32","부산광역시 동래구","2626"
"33","부산광역시 남구","2629"
"34","부산광역시 북구","2632"
"35","부산광역시 해운대구","2635"
"36","부산광역시 사하구","2638"
"37","부산광역시 금정구","2641"
"38","부산광역시 강서구","2644"
"39","부산광역시 연제구","2647"
"40","부산광역시 수영구","2650"
"41","부산광역시 사상구","2653"
"42","부산광역시 기장군","2671"
"43","대구광역시","2700"
"44","대구광역시 중구","2711"
"45","대구광역시 동구","2714"
"46","대구광역시 서구","2717"
"47","대구광역시 남구","2720"
"48","대구광역시 북구","2723"
"49","대구광역시 수성구","2726"
"50","대구광역시 달서구","2729"
"51","대구광역시 달성군","2771"
"52","인천광역시","2800"
"53","인천광역시 중구","2811"
"54","인천광역시 동구","2814"
"55","인천광역시 남구","2817"
"56","인천광역시 연수구","2818"
"57","인천광역시 남동구","2820"
"58","인천광역시 부평구","2823"
"59","인천광역시 계양구","2824"
"60","인천광역시 서구","2826"
"61","인천광역시 강화군","2871"
"62","인천광역시 옹진군","2872"
"63","광주광역시","2900"
"64","광주광역시 동구","2911"
"65","광주광역시 서구","2914"
"66","광주광역시 남구","2915"
"67","광주광역시 북구","2917"
"68","광주광역시 광산구","2920"
"69","대전광역시","3000"
"70","대전광역시 동구","3011"
"71","대전광역시 중구","3014"
"72","대전광역시 서구","3017"
"73","대전광역시 유성구","3020"
"74","대전광역시 대덕구","3023"
"75","울산광역시","3100"
"76","울산광역시 중구","3111"
"77","울산광역시 남구","3114"
"78","울산광역시 동구","3117"
"79","울산광역시 북구","3120"
"80","울산광역시 울주군","3171"
"81","세종특별자치시","3611"
"82","세종특별자치시 반곡동","3611"
"83","세종특별자치시 소담동","3611"
"84","세종특별자치시 보람동","3611"
"85","세종특별자치시 대평동","3611"
"86","세종특별자치시 가람동","3611"
"87","세종특별자치시 한솔동","3611"
"88","세종특별자치시 나성동","3611"
"89","세종특별자치시 새롬동","3611"
"90","세종특별자치시 다정동","3611"
"91","세종특별자치시 어진동","3611"
"92","세종특별자치시 종촌동","3611"
"93","세종특별자치시 고운동","3611"
"94","세종특별자치시 아름동","3611"
"95","세종특별자치시 도담동","3611"
"96","세종특별자치시 조치원읍","3611"
"97","세종특별자치시 연기면","3611"
"98","세종특별자치시 연동면","3611"
"99","세종특별자치시 부강면","3611"
"100","세종특별자치시 금남면","3611"
"101","세종특별자치시 장군면","3611"
"102","세종특별자치시 연서면","3611"
"103","세종특별자치시 전의면","3611"
"104","세종특별자치시 전동면","3611"
"105","세종특별자치시 소정면","3611"
"106","경기도","4100"
"107","경기도 수원시","4111"
"108","경기도 성남시","4113"
"109","경기도 의정부시","4115"
"110","경기도 안양시","4117"
"111","경기도 부천시","4119"
"112","경기도 광명시","4121"
"113","경기도 평택시","4122"
"114","경기도 동두천시","4125"
"115","경기도 안산시","4127"
"116","경기도 고양시","4128"
"117","경기도 과천시","4129"
"118","경기도 구리시","4131"
"119","경기도 남양주시","4136"
"120","경기도 오산시","4137"
"121","경기도 시흥시","4139"
"122","경기도 군포시","4141"
"123","경기도 의왕시","4143"
"124","경기도 하남시","4145"
"125","경기도 용인시","4146"
"126","경기도 파주시","4148"
"127","경기도 이천시","4150"
"128","경기도 안성시","4155"
"129","경기도 김포시","4157"
"130","경기도 화성시","4159"
"131","경기도 광주시","4161"
"132","경기도 양주시","4163"
"133","경기도 포천시","4165"
"134","경기도 여주시","4167"
"135","경기도 연천군","4180"
"136","경기도 가평군","4182"
"137","경기도 양평군","4183"
