컬럼명,계산식,컬럼명,계산식
고저 평균,(고가+저가)/2,종시 평균,종가+시가)/2
조저차,고가-저가,종시차,종가-시가
시고저종 평균,(시가+고가+저가+종가)/4,종가 차(등락),내일종가-오늘종가
종가 등락율,(종가/내일종가)*100-100,5일 평균 시가,5일시가합/5
20일 평균 시가,20일시가합/5,5일 평균 고가,5일고가합/5
20일 평균 고가,20일고가합/20,5일 평균 저가,5일저가합/5
20일 평균 저가,20일저가합/20,5일 평균 종가,5일종가합/5
20일 평균 종가,20일종가합/20,5일 평균 내일 시가,5일간내일시가합/5
20일 평균 내일 시가,20일간내일시가합/20,5일 평균 고가저가 차,5일간고처차합/5
20일 평균 고가저가 차,20일간고처차합/20,5일 평균 종가시가 차,5일간종시차합/5
20일 평균 종가시가 차,20일간종시차합/20,5일 평균 시고저종 평균,5일간시고처종평균합/5
"20일 평균 시,고,저,종 평균",20일간시고처종평균합/20,5일 평균 등락,5일간종가차합/5
20일 평균 등락,20일간종가차합/20,5일 평균 등락율,5일간종가차율합/5
20일 평균 등락율,20일간종가차율합/20,내일시가-시가,내일시가-시가
내일시가-고가,내일시가-고가,내일시가-저가,내일시가-저가
내일시가-종가,내일시가-종가,내일시가-고가저가평균,내일시가-고가저가평균
내일시가-시가종가평균,내일시가-시가종가평균,내일시가-시고저종평균,내일시가-시고저종평균
POSC,(5일간종가평균-20일간종가평균)/5일간종가평균*100,mao,5일간종가평균-20일간종가평균
5VHF,abs(6일간종가최대-6일간종가최소)/(abs(기준일전일-기준일)합),5일지수평균 시가,시가*(1/4)+(6일간시가평균)*(1-1/4)
5일지수평균 고가,고가*(1/4)+(6일간고가평균)*(1-1/4),5일지수평균 저가,저가*(1/4)+(6일간저가평균)*(1-1/4)
5일지수평균 종가,종가*(1/4)+(6일간종하평균)*(1-1/4),Ochisto,5일지수평균종가-5일지수평균시가
5일지수평균 2차,5일지수평균종가*(1/4)+(5일간 5일지수평균종가평균)*(1-1/4),5일지수평균 3차,5일지수평균2차*(1/4)+(5일간 5일지수평균2차평균)*(1-1/4)
TRIX,(5일지수평균2차 - 전일 5일지수평균2차)/전일 5일지수평균2차*100,,
