* 통계표명 :,월간_매매가격지수_종합,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,2003년 11월 ~ 2016년 10월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,2009년 01월 ~ 2013년 12월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,한국감정원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2016.11.22 17:32:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,지수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,,2009년 01월,2009년 02월,2009년 03월,2009년 04월,2009년 05월,2009년 06월,2009년 07월,2009년 08월,2009년 09월,2009년 10월,2009년 11월,2009년 12월,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월
전국,,,,88.9,88.7,88.5,88.6,88.7,88.9,89.1,89.4,90,90.4,90.6,90.7,90.8,91.1,91.3,91.4,91.4,91.4,91.3,91.2,91.3,91.4,91.7,92,92.4,93.1,93.9,94.9,95.1,95.5,95.9,96.4,96.9,97.2,97.5,97.7,97.9,97.9,97.9,97.9,97.8,97.6,97.3,97.1,96.8,96.6,96.5,96.3,96,95.9,95.8,95.9,96.1,96.1,96,95.9,96,96.2,96.4,96.6
수도권,,,,100.9,100.6,100.3,100.4,100.5,100.8,101.2,101.7,102.5,102.9,103,103,103,103.1,103.2,103.1,102.7,102.4,101.8,101.4,101.2,101.1,101.1,101.1,101.2,101.5,101.8,102.1,102.1,102.1,102,102.1,102.1,102.1,102,101.9,101.7,101.6,101.4,101.1,100.8,100.3,99.8,99.3,98.8,98.4,98,97.5,97,96.6,96.4,96.4,96.5,96.4,96.1,95.9,95.9,96.2,96.3,96.4
지방권,,,,77.4,77.3,77.3,77.3,77.4,77.5,77.5,77.7,78.1,78.4,78.7,79,79.2,79.5,79.9,80.3,80.6,80.9,81.2,81.4,81.7,82.1,82.7,83.3,83.9,84.9,86.2,88.1,88.4,89.3,90.1,91,92,92.7,93.5,93.9,94.5,94.6,94.9,95,95.1,95.1,95.1,95,95,95.1,95.1,95.2,95.2,95.2,95.3,95.5,95.7,95.8,95.9,96,96,96.3,96.5,96.8
6대광역시,,,,81.3,81.2,81.1,81,81.1,81.2,81.3,81.5,82,82.4,82.7,83,83.2,83.5,83.8,84.2,84.5,84.6,84.7,84.8,85,85.4,85.9,86.4,87,87.9,89,90.6,90.8,91.6,92.3,92.9,93.6,94.2,94.8,95,95.4,95.4,95.5,95.5,95.5,95.3,95.1,94.8,94.7,94.6,94.6,94.5,94.4,94.3,94.2,94.4,94.6,94.8,94.9,94.9,94.9,95.2,95.5,95.8
5대광역시,,,,75.6,75.5,75.4,75.4,75.5,75.6,75.7,75.9,76.4,76.7,77.1,77.4,77.6,78,78.4,78.8,79.3,79.5,79.7,79.9,80.2,80.7,81.4,82,82.6,83.7,85.1,87,87.2,88.3,89.2,90,91,91.7,92.6,92.9,93.4,93.5,93.7,93.8,93.8,93.7,93.6,93.4,93.3,93.4,93.5,93.5,93.6,93.6,93.6,93.9,94.1,94.3,94.5,94.5,94.6,94.9,95.2,95.5
9개도,,,,89.4,89.1,89,89,89.1,89.2,89.4,89.6,90.1,90.3,90.5,90.6,90.6,90.8,91,91.1,91,91,90.8,90.6,90.7,90.8,91.1,91.4,91.8,92.4,93.3,94.4,94.5,94.9,95.3,95.8,96.3,96.7,97.1,97.2,97.6,97.6,97.7,97.7,97.7,97.6,97.4,97.2,97,96.9,96.7,96.5,96.3,96.1,96.1,96.1,96.3,96.4,96.3,96.2,96.3,96.5,96.7,96.9
8개도,,,,79.2,79.1,79.1,79.1,79.2,79.2,79.2,79.4,79.7,79.9,80.2,80.5,80.6,80.9,81.2,81.5,81.8,82.2,82.4,82.7,82.9,83.3,83.9,84.4,85,85.8,87.1,88.9,89.2,90,90.7,91.6,92.6,93.3,94.1,94.6,95.2,95.4,95.7,95.9,96,96,96,96.1,96.2,96.2,96.2,96.3,96.2,96.3,96.3,96.5,96.7,96.8,96.9,96.9,97,97.2,97.4,97.6
서울,,,,100,99.9,99.8,100,100.1,100.5,101.2,101.8,102.9,103.4,103.5,103.6,103.7,103.9,104,104,103.7,103.5,103.1,102.7,102.6,102.4,102.4,102.4,102.6,102.8,103,103.2,103.3,103.3,103.2,103.4,103.3,103.3,103.2,103.1,102.9,102.8,102.5,102,101.6,101.1,100.6,100,99.5,99.1,98.7,98.2,97.7,97.4,97.3,97.4,97.5,97.3,96.9,96.5,96.5,96.8,96.9,96.8
,강북지역,,,100.6,100.3,100.1,100.2,100.3,100.5,101.2,101.7,102.6,103.1,103.3,103.3,103.5,103.6,103.7,103.7,103.4,103.2,102.9,102.5,102.2,102.1,102,102,102.1,102.2,102.4,102.6,102.6,102.7,102.6,102.8,102.7,102.7,102.7,102.5,102.4,102.3,102.1,101.7,101.4,101.1,100.8,100.5,100.1,99.8,99.4,99.1,98.7,98.4,98.2,98,98.1,97.9,97.6,97.2,97,97.2,97.3,97.4
,,도심권,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,102.9,102.9,102.6,102.5,102.4,102.2,102.1,101.7,101.4,101,100.7,100.6,100.5,100.4,100.2,100,99.9,99.6,99.3,99,98.9,98.9,98.9,98.9
